Product URL,Product Name,Product Price,Rating,Number of reviews,Description,ASIN,Manufacturer,Product Description
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3,"13,224 ","Amazon.in: Buy Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black) online at low price in India on Amazon.in. Check out Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black) reviews, ratings, features, specifications and more at Amazon.in",B084JGJ8PF,Wesley,"Amazon.in: Buy Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black) online at low price in India on Amazon.in. Check out Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black) reviews, ratings, features, specifications and more at Amazon.in"
/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,099",4.0,"56,348 ",Buy American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK) from Casual Backpacks at Amazon.in. 30 days free exchange or return,B07CJCGM1M,American Tourister,Buy American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK) from Casual Backpacks at Amazon.in. 30 days free exchange or return
/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3,"6,876 ",Fur Jaden Black Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel : Amazon.in: Fashion,B0848GJB64,FUR JADEN,Fur Jaden Black Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel : Amazon.in: Fashion
/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449,4.4,"5,258 ","Amazon.in: Buy Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps online at low price in India on Amazon.in. Check out Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps reviews, ratings, features, specifications and more at Amazon.in",B08R7RPVJF,Lenovo,"Amazon.in: Buy Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps online at low price in India on Amazon.in. Check out Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps reviews, ratings, features, specifications and more at Amazon.in"
/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1,"1,952 ","Amazon.in: Buy Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue) online at low price in India on Amazon.in. Check out Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue) reviews, ratings, features, specifications and more at Amazon.in",B09NM65GXJ,Wesley,"Amazon.in: Buy Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue) online at low price in India on Amazon.in. Check out Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue) reviews, ratings, features, specifications and more at Amazon.in"
/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,"3,849 ","Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Black | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B09VCL8D6S,Half Moon,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Black | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return"
/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",699,3.9,155 ,"Buy Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal from Casual Backpacks at Amazon.in. 30 days free exchange or return",B097JH4V5G,Safari,"Buy Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal from Casual Backpacks at Amazon.in. 30 days free exchange or return"
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",749,4.1,"6,663 ","Buy FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls (Black) from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B09VTBYNHF,FUR JADEN,"Buy FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls (Black) from Laptop Backpacks at Amazon.in. 30 days free exchange or return"
/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,798,4.4,"6,240 ",Buy Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B07G4F6XFH,Gear,Buy Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown from Laptop Backpacks at Amazon.in. 30 days free exchange or return
/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,349,4.0,"9,233 ","Amazon.in: Buy ADISA Laptop Backpack 31 Ltrs (BP004-NAV_Navy Blue) online at low price in India on Amazon.in. Check out ADISA Laptop Backpack 31 Ltrs (BP004-NAV_Navy Blue) reviews, ratings, features, specifications and more at Amazon.in",B07D84YFF1,ADISA,"Amazon.in: Buy ADISA Laptop Backpack 31 Ltrs (BP004-NAV_Navy Blue) online at low price in India on Amazon.in. Check out ADISA Laptop Backpack 31 Ltrs (BP004-NAV_Navy Blue) reviews, ratings, features, specifications and more at Amazon.in"
